iter	Logloss
435	0.3389882529
436	0.338866822
437	0.3387072646
438	0.3385965326
439	0.3385255593
440	0.3384224758
441	0.3383408642
442	0.3382252269
443	0.33443	0.339444	0.33444	0.3395692796
445	0.339446	0.33446	0447	0.337662808
448	0.3375442455
449	0.3374090449	450	0.3373059450	451	0.3372195451452	0.3371175219
453	0.3369266945454	0.3368236021
455	0.3367114752
456	0.3366441897
457	0.3365451054
458	0.3364331461
459	0.3363311237
460	0.336241043
461	0.3360705811
462	0.3359520326
463	0.3358398294
464	0.335723482464	0.3369230456
465	0.336762995
466	0.3366156617
467	0.3364402467
468	0.3363215452
469	0.3361396237
470	0.3360297729
471	0.3359635211
472	0.3358318756
473	0.3356839042
474	0.3355051509
475	0.3353290171
476	0.3351313147
477	0.3350062301
478	0.3349126515
479	0.334873214
480	0.3347589069
481	0.3346182162
482	0.3344819871
483	0.3344198598
484	0.334289059
485	0.3342061901
486	0.3340991325
487	0.3340185112
488	0.3339140194
489	0.3337945501
490	0.3337208784
491	0.3336085737
492	0.3334962673
493	0.3334294921
494	0.3333049757
495	0.3332098835
496	0.3330785747
497	0.3329328101
498	0.3328248222
499	0.3326451383
500	0.3324815786
501	0.3323983019
502	0.3322965409
503	0.3321708765
504	0.3320889389
505	0.3319890026
506	0.3318511443
507	0.3316821995
508	0.3315371938
509	0.33136893
510	0.331314822
511	0.331202793
512	0.3311000553
513	0.3309467782
514	0.3308523546
515516	0.3297410943
517	0.3296493064
518	0.3295655774
519	0.3294807305
520	0.3293615482
521	0.3292932145
522	0.3292106531
523	0.3290495624
524	0.3289953929
525	0.3288760154
526	0.3287621334
527	0.3286771933
528	0.3286055999
529	0.3285221313
530	0.3284021759
531	0.3283402681
532	0.328268415
533	0.3281350361
534	0.3280090777
535	0.327896535	0.3285124779
536	0.3284282258
537	0.3283314905
538	0.328213677
539	0.3281098413
540	0.3279798933
541	0.3278993417
542	0.3278053074
543	0.3276589285
544	0.3275530553
545	0.3274578354
546	0.3273440777
547	0.327196195
548	0.3270442053
549	0.3269542804
550	0.3268655184
551	0.3267687488
552	0553	0.3259991997
554	0.3258519452
555	0.3257809813
556	0.3256908427
557	0.325485979
558	0.3253995929
559	0.3253317938
560	0.3251659478
561	0.3250961633
562	0.3249924436
563	0.3249127392
564	0.3247592293
565	0.3246968913
566	0.3245557906
567	0.3244896397
568	0.3243922956
569	0.3243107071
570	0.3242455225
571	0.3241612907
572	0.3240803299
573	0.3240174612
574	0.3239405163
575	0.3238855583
576	0.3237900055
577	0.3237288236
578	0.3235816567
579	0.3234855267
580	0.3234257588
581	0.3232332185
582	0.3230703859
583	0.32583	0.3230695046
584	0.3229265303
585	0.3228197633
586	0.3227049814
587	0.3225590135
588	0.3224646974
589	0.3223890225
590	0.3222706557
591	0.322178508
592	0.3220832621
593	0.321957872
594	0.3218924073
595	0.3217892196
596	0.3217026105
597	0.3215933432
598	0.3214482854
599	0.3213099739
600	0.3212574946
601	0.3211696905
602	0.3210434686
603	0.3209287823
604	0.320789227
605	0.3206150888
606	0.3205084182
607	0.3203861525
608	0.3202518244
609	0.3201326971
610	0.3200518607
611	0.3198951599
612	0.3197659165
613	0.3195990221
614	0.319505461
615	0.3193713563
616	0.3192263657
617	0.3191124775
618	0.3189951751
619	0.3188659247
620	0.3187396267
621	0.3186320768
622	0.3185185486
623	0.3184323146
624	0.3183235418
625	0.3181956684
626	0.3180952304
627	0.3179516972
628	0.3178225389
629	0.3176372105
630	0.3175286139
631	0.3173799255
632	0.3172307664
633	0.3171275635
634	0.3169730166
635	0.316864693
636	0.3167942568
637	0.3167069221
638	0.3165588338
639	0.3164161338
640	0.3162572711
641	0.3161306241
642	0.3160444568
643	0.3159512474
644	0.3158133543
645	0.3157301583
646	0.3156262656
647	0.3154856616
648	0.3154108783
649	0.3153211079
650	0.3151984138
651	0.3150997045
652	0.3149828856
653	0.3148880351
654	0.3147672273
655	0.3146411304
656	0.314546439
657	0.3144759212
658	0.3143910514
659	0.3142848795
660	0.3141575821
661	0.3140153396
662	0.3138916219
663	0.313777796
664	0.3136835182
665	0.3135315548
666	0.3134026767
667	0.3132525239
668	0.3131280549
669	0.3130258573
670	0.3129235921
671	0.3127945662
672	0.3126847054
673	0.3125572533
674	0.3124580982
675	0.3123202657
676	0.3121366983
677	0.312023209
678	0.3118469883
679	0.3117295497
680	0.311604458
681	0.3114805009
682	0.3113550326
683	0.3112336793
684	0.3111284949
685	0.3110326083
686	0.3109269093
687	0.3108053213
688	0.3106880949
689	0.3105890954
690	0.3104355421
691	0.3102634984
692	0.3101211916
693	0.3100563021
694	0.3099463994
695	0.3098093659
696	0.3096975569
697	0.3096305443
698	0.3094973885
699	0.3093944618
700	0.3093169005
701	0.309189717
702	0.3090983622
703	0.3089387552
704	0.3088039766
705	0.308743928
706	0.3086295809
707	0.3085203006
708	0.3084161642
709	0.3083710763
710	0.3083099852
711	0.3082453222
712	0.3081666723
713	0.3080693328
714	0.3079872432
715	0.3079142298
716	0.307841177
717	0.3077451345
718	0.3076383054
719	0.3075687355
720	0.3074765812
721	0.3073686649
722	0.3072897134
723	0.3072349185
724	0.3071001412
725	0.3069879471
726	0.3068773229
727	0.3067828552
728	0.3066237989
729	0.3064972676
730	0.3063905214
731	0.3062642148
732	0.3061509278
733	0.3060457276
734	0.3059438896
735	0.3058496251
736	0.3058083027
737	0.3056815583
738	0.305521514
739	0.3054110731
740	0.3053088436
741	0.3052009676
742	0.3051318366
743	0.3049802876
744	0.3048783056
745	0.304786849
746	0.3047089928
747	0.3046189826
748	0.3045247578
749	0.3044082871
750	0.304316618
751	0.304218198
752	0.3041160147
753	0.3040680415
754	0.3039947677
755	0.3038547051
756	0.3037993775
757	0.3037429336
758	0.3036213261
759	0.3034853219
760	0.3033897351
761	0.3032578184
762	0.3031589043
763	0.3029792716
764	0.3028725137
765	0.3027342646
766	0.3026311103
767	0.302483137
768	0.3023703644
769	0.3023091304
770	0.3022181415
771	0.3021666487
772	0.3020445684
773	0.3019447012
774	0.301812649
775	0.3017057514
776	0.3016143973
777	0.3014973628
778	0.3014284692
779	0.3013602805
780	0.3013053314
781	0.301195181
782	0.3010557077
783	0.3009797599
784	0.3008688666
785	0.3007640797
786	0.3006774232
787	0.3005623731
788	0.3004899068
789	0.3004368866
790	0.3003815913
791	0.3002646298
792	0.300157935
793	0.3000415931
794	0.2999337977
795	0.2998341041
796	0.299746987
797	0.2996726307
798	0.2995181613
799	0.29940529
800	0.2992850964
801	0.2991709698
802	0.2990388569
803	0.2989428237
804	0.298896246
805	0.2987461997
806	0.2986504137
807	0.2985046998
808	0.2984009267
809	0.2982752636
810	0.2981346932
811	0.2980268651
812	0.2979209772
813	0.2978002718
814	0.2977123101
815	0.2976060898
816	0.2975089071
817	0.2973920769
818	0.2972833762
819	0.2971679611
820	0.2970725386
821	0.2969382595
822	0.2968788253
823	0.2968286257
824	0.2967382017
825	0.2966279957
826	0.2965348847
827	0.2963911351
828	0.2962404522
829	0.2961565565
830	0.2960712542
831	0.2959427738
832	0.2958741961
833	0.2957953661
834	0.2956973637
835	0.2956515023
836	0.2955657265
837	0.2954553377
838	0.2953798703
839	0.2952804682
840	0.2951832715
841	0.2951011595
842	0.2949850974
843	0.2948521745
844	0.2947905923
845	0.2946827457
846	0.2945929051
847	0.2945217449
848	0.2943694247
849	0.2943041318
850	0.2942465135
851	0.2941986953
852	0.2940944217
853	0.2940113958
854	0.2939775764
855	0.2938689277
856	0.2937257283
857	0.2936528684
858	0.2935352491
859	0.2934574429
860	0.293339406
861	0.2932656986
862	0.2931399728
863	0.2930833785
864	0.29302257
865	0.2929172783
866	0.292832324
867	0.2927482284
868	0.2926449462
869	0.2925329656
870	0.2924476164
871	0.2923394052
872	0.2922877055
873	0.2922241975
874	0.2921430304
875	0.2921010747
876	0.2920395998
877	0.2919489903
878	0.2918676163
879	0.2917702423
880	0.2916886781
881	0.2916520217
882	0.2915583696
883	0.2914662358
884	0.2913950605
885	0.2913012523
886	0.2912855442
887	0.2911403529
888	0.2910610243
889	0.2908995509
890	0.2908287296
891	0.2907582727
892	0.2906841358
893	0.2905785321
894	0.2904546794
895	0.2904187147
896	0.2902939265
897	0.290244325
898	0.2901731018
899	0.2900738671
900	0.2899761529
901	0.2898733616
902	0.2897597882
903	0.2896697217
904	0.2895830901
905	0.2894745264
906	0.2893948799
907	0.2893061357
908	0.2892431
909	0.2891464924
910	0.2890788329
911	0.2889622731
912	0.288891501
913	0.2888274782
914	0.2887764461
915	0.2887074533
916	0.2886187167
917	0.2885322624
918	0.2884655519
919	0.2883780538
920	0.2882703846
921	0.2881321972
922	0.2880234338
923	0.2879139873
924	0.2878069307
925	0.2877194262
926	0.2876218139
927	0.2875658021
928	0.2874787865
929	0.287425521
930	0.2872794286
931	0.287195777
932	0.2870939263
933	0.2869351644
934	0.2868348062
935	0.286771091
936	0.2866887464
937	0.2865842722
938	0.2864428512
939	0.2863208986
940	0.2862176091
941	0.2861395074
942	0.2860548883
943	0.2859505899
944	0.2858672499
945	0.2857717134
946	0.285655831
947	0.2856386123
948	0.2855809175
949	0.2854967988
950	0.2853971431
951	0.2853255362
952	0.2852259467
953	0.2851426694
954	0.2850035419
955	0.2849239974
956	0.2848366909
957	0.2847015424
958	0.2846303184
959	0.2845522381
960	0.2844230598
961	0.2843313136
962	0.284246901
963	0.2841901501
964	0.2841119155
965	0.2840127104
966	0.2839515164
967	0.2838910117
968	0.2838126176
969	0.2837245331
970	0.2836512098
971	0.2835847514
972	0.2834717866
973	0.2833854354
974	0.2833097464
975	0.2832044658
976	0.2831360095
977	0.2830237222
978	0.2829218906
979	0.2828314551
980	0.2827913825
981	0.2827319382
982	0.2825988008
983	0.282492511
984	0.2823941735
985	0.2823173228
986	0.2822557112
987	0.2821606863
988	0.2820668795
989	0.2819720922
990	0.2818591646
991	0.2817403595
992	0.2816488836
993	0.2815690529
994	0.2815269722
995	0.2814841724
996	0.28141223
997	0.281353098
998	0.2812728358
999	0.2811165381
1
416
20735
